"event","level","Rank","Name","NAT","round","DD","Score","judge_num","judge_name"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5.5,4," REIS Violeta"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5.5,6," RAO Lang"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","3",3,5,7," SIEFKEN Jann Hendrik"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3.5,1," ROCHA CHAVEZ Sergio"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3.5,2," FRASER Lindsey Ann"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3,3," LEE William"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3.5,4," REIS Violeta"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3.5,5," ZAMPIERI Marco"
"women's 3m springboard","preliminary",28,"BERTOCCHI Elena","ITA","4",3,3,6," RAO Lang"
