"num","name","round","level","event"
"2"," WRIGHT Lisa",4,"semifinal","women's 3m springboard"
"3"," FRASER Lindsey Ann",4,"semifinal","women's 3m springboard"
"4"," ROCHA CHAVEZ Sergio",4,"semifinal","women's 3m springboard"
"5"," FEOKTISTOV Eduard",4,"semifinal","women's 3m springboard"
"6"," PRANARTA Pranarta",4,"semifinal","women's 3m springboard"
"7"," ZAMPIERI Marco",4,"semifinal","women's 3m springboard"
"1"," van der VOORT Ronald",5,"semifinal","women's 3m springboard"
"2"," WRIGHT Lisa",5,"semifinal","women's 3m springboard"
"3"," FRASER Lindsey Ann",5,"semifinal","women's 3m springboard"
"4"," ROCHA CHAVEZ Sergio",5,"semifinal","women's 3m springboard"
"5"," FEOKTISTOV Eduard",5,"semifinal","women's 3m springboard"
"6"," PRANARTA Pranarta",5,"semifinal","women's 3m springboard"
"7"," ZAMPIERI Marco",5,"semifinal","women's 3m springboard"
"1"," PEREZ CANASVERAS Angel Luis",1,"semifinal"," men's 10m platform"
"2"," GUAYACAN CONTRERAS Juan Carlos",1,"semifinal"," men's 10m platform"
"3"," ASADA Masako",1,"semifinal"," men's 10m platform"
"4"," SHEPHERD Kathleen",1,"semifinal"," men's 10m platform"
"5"," FRASER Lindsey Ann",1,"semifinal"," men's 10m platform"
"6"," SANTOS Isabel",1,"semifinal"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",1,"semifinal"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",2,"semifinal"," men's 10m platform"
"2"," GUAYACAN CONTRERAS Juan Carlos",2,"semifinal"," men's 10m platform"
"3"," ASADA Masako",2,"semifinal"," men's 10m platform"
"4"," SHEPHERD Kathleen",2,"semifinal"," men's 10m platform"
"5"," FRASER Lindsey Ann",2,"semifinal"," men's 10m platform"
"6"," SANTOS Isabel",2,"semifinal"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",2,"semifinal"," men's 10m platform"
"1"," PEREZ CANASVERAS Angel Luis",3,"semifinal"," men's 10m platform"
"2"," GUAYACAN CONTRERAS Juan Carlos",3,"semifinal"," men's 10m platform"
"3"," ASADA Masako",3,"semifinal"," men's 10m platform"
"4"," SHEPHERD Kathleen",3,"semifinal"," men's 10m platform"
"5"," FRASER Lindsey Ann",3,"semifinal"," men's 10m platform"
"6"," SANTOS Isabel",3,"semifinal"," men's 10m platform"
"7"," TOULOUDIS Nikolaos",3,"semifinal"," men's 10m platform"
"1"," BARTH Michael",4,"semifinal"," men's 10m platform"
"2"," RAO Lang",4,"semifinal"," men's 10m platform"
"3"," WIERNIUK Anna",4,"semifinal"," men's 10m platform"
"4"," REIS Violeta",4,"semifinal"," men's 10m platform"
"5"," GOLOVAN Anatoliy",4,"semifinal"," men's 10m platform"
"6"," LEE William",4,"semifinal"," men's 10m platform"
"7"," SCHLEPPS Holger",4,"semifinal"," men's 10m platform"
"1"," BARTH Michael",5,"semifinal"," men's 10m platform"
"2"," RAO Lang",5,"semifinal"," men's 10m platform"
"3"," WIERNIUK Anna",5,"semifinal"," men's 10m platform"
"4"," REIS Violeta",5,"semifinal"," men's 10m platform"
"5"," GOLOVAN Anatoliy",5,"semifinal"," men's 10m platform"
"6"," LEE William",5,"semifinal"," men's 10m platform"
"7"," SCHLEPPS Holger",5,"semifinal"," men's 10m platform"
"1"," BARTH Michael",6,"semifinal"," men's 10m platform"
"2"," RAO Lang",6,"semifinal"," men's 10m platform"
"3"," WIERNIUK Anna",6,"semifinal"," men's 10m platform"
"4"," REIS Violeta",6,"semifinal"," men's 10m platform"
"5"," GOLOVAN Anatoliy",6,"semifinal"," men's 10m platform"
"6"," LEE William",6,"semifinal"," men's 10m platform"
"7"," SCHLEPPS Holger",6,"semifinal"," men's 10m platform"
"1"," AXTELIUS Peter",1,"semifinal","women's 10m platform"
"2"," PETERSON Gord",1,"semifinal","women's 10m platform"
"3"," FRASER Lindsey Ann",1,"semifinal","women's 10m platform"
"4"," RAO Lang",1,"semifinal","women's 10m platform"
"5"," SCHLEPPS Holger",1,"semifinal","women's 10m platform"
"6"," REIS Violeta",1,"semifinal","women's 10m platform"
"7"," LEE William",1,"semifinal","women's 10m platform"
"1"," AXTELIUS Peter",2,"semifinal","women's 10m platform"
"2"," PETERSON Gord",2,"semifinal","women's 10m platform"
"3"," FRASER Lindsey Ann",2,"semifinal","women's 10m platform"
"4"," RAO Lang",2,"semifinal","women's 10m platform"
"5"," SCHLEPPS Holger",2,"semifinal","women's 10m platform"
"6"," REIS Violeta",2,"semifinal","women's 10m platform"
"7"," LEE William",2,"semifinal","women's 10m platform"
"1"," AXTELIUS Peter",3,"semifinal","women's 10m platform"
"2"," PETERSON Gord",3,"semifinal","women's 10m platform"
"3"," FRASER Lindsey Ann",3,"semifinal","women's 10m platform"
"4"," RAO Lang",3,"semifinal","women's 10m platform"
"5"," SCHLEPPS Holger",3,"semifinal","women's 10m platform"
"6"," REIS Violeta",3,"semifinal","women's 10m platform"
"7"," LEE William",3,"semifinal","women's 10m platform"
"1"," van der VOORT Ronald",4,"semifinal","women's 10m platform"
"2"," ASADA Masako",4,"semifinal","women's 10m platform"
"3"," SZEKFFY Nora",4,"semifinal","women's 10m platform"
"4"," ZAMPIERI Marco",4,"semifinal","women's 10m platform"
"5"," ROCHA CHAVEZ Sergio",4,"semifinal","women's 10m platform"
"6"," DAW Yehia Zakaria Yehia",4,"semifinal","women's 10m platform"
"7"," KOH Tony",4,"semifinal","women's 10m platform"
"1"," van der VOORT Ronald",5,"semifinal","women's 10m platform"
"2"," ASADA Masako",5,"semifinal","women's 10m platform"
"3"," SZEKFFY Nora",5,"semifinal","women's 10m platform"
"4"," ZAMPIERI Marco",5,"semifinal","women's 10m platform"
"5"," ROCHA CHAVEZ Sergio",5,"semifinal","women's 10m platform"
"6"," DAW Yehia Zakaria Yehia",5,"semifinal","women's 10m platform"
"7"," KOH Tony",5,"semifinal","women's 10m platform"
"1"," GOLOVAN Anatoliy",1,"final"," men's 3m springboard"
"2"," RAO Lang",1,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",1,"final"," men's 3m springboard"
"4"," REIS Violeta",1,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",1,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",1,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",1,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",2,"final"," men's 3m springboard"
"2"," RAO Lang",2,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",2,"final"," men's 3m springboard"
"4"," REIS Violeta",2,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",2,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",2,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",2,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",3,"final"," men's 3m springboard"
"2"," RAO Lang",3,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",3,"final"," men's 3m springboard"
"4"," REIS Violeta",3,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",3,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",3,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",3,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",4,"final"," men's 3m springboard"
"2"," RAO Lang",4,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",4,"final"," men's 3m springboard"
"4"," REIS Violeta",4,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",4,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",4,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",4,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",5,"final"," men's 3m springboard"
"2"," RAO Lang",5,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",5,"final"," men's 3m springboard"
"4"," REIS Violeta",5,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",5,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",5,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",5,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",6,"final"," men's 3m springboard"
"2"," RAO Lang",6,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",6,"final"," men's 3m springboard"
"4"," REIS Violeta",6,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",6,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",6,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",6,"final"," men's 3m springboard"
"1"," GOLOVAN Anatoliy",7,"final"," men's 3m springboard"
"2"," RAO Lang",7,"final"," men's 3m springboard"
"3"," ZAMPIERI Marco",7,"final"," men's 3m springboard"
"4"," REIS Violeta",7,"final"," men's 3m springboard"
"5"," van der VOORT Ronald",7,"final"," men's 3m springboard"
"6"," AXTELIUS Peter",7,"final"," men's 3m springboard"
"7"," DAW Yehia Zakaria Yehia",7,"final"," men's 3m springboard"
"1"," REIS Violeta",1,"final","women's 3m springboard"
"2"," AXTELIUS Peter",1,"final","women's 3m springboard"
"3"," WRIGHT Lisa",1,"final","women's 3m springboard"
"4"," PRANARTA Pranarta",1,"final","women's 3m springboard"
