"Rank","Name","NAT","Dive No.","DD","J1","J2","J3","J4","J5","J6","J7","Dive Points","Dive Rank","Total Points","Overall Rank","Points Behind","level","event"
"15","KIM Yeongnam","KOR","307C","3.5","6.5","7.0","7.0","7.5","7.0","7.0","7.0","73.50","9","331.35","16","80.55","preliminary"," men's 3m springboard"
"15","KIM Yeongnam","KOR","109C","3.8","5.0","6.5","6.0","6.5","6.0","6.0","6.0","68.40","20","399.75","=15","87.75","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","205B","3.0","6.5","6.5","6.5","8.0","7.0","7.0","7.0","61.50","=29","61.50","=29","13.30","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","107B","3.1","7.0","8.0","7.5","7.0","7.5","7.5","8.0","69.75","=12","131.25","19","20.05","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","109C","3.8","4.0","5.0","5.0","5.0","4.5","5.0","4.5","55.10","35","186.35","24","52.45","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","407C","3.4","7.0","7.5","7.5","7.0","7.0","7.0","6.5","71.40","=11","257.75","19","62.95","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","307C","3.5","6.0","6.5","5.5","6.0","6.5","7.5","7.0","66.50","17","324.25","18","87.65","preliminary"," men's 3m springboard"
"17","CIPRICK Thomas","CAN","5353B","3.3","7.0","7.0","7.0","6.5","6.5","7.0","6.5","67.65","23","391.90","17","95.60","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","407C","3.4","4.0","3.5","3.5","4.5","4.0","3.5","4.0","39.10","53","39.10","53","35.70","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","107B","3.1","7.5","8.0","7.5","7.5","7.0","7.5","8.0","69.75","=12","108.85","39","42.45","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","109C","3.8","8.0","7.5","7.5","7.5","7.0","7.0","7.5","85.50","2","194.35","17","44.45","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","205B","3.0","6.0","6.0","5.5","6.5","6.0","6.5","6.5","55.50","35","249.85","24","70.85","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","307C","3.5","6.0","6.0","6.5","7.0","6.5","6.5","6.5","68.25","14","318.10","20","93.80","preliminary"," men's 3m springboard"
"18","MARSAGLIA Lorenzo","ITA","5154B","3.4","7.0","6.5","7.0","7.0","7.0","7.5","7.5","71.40","=9","389.50","18","98.00","preliminary"," men's 3m springboard"
"19","SUYAMA Haruki","JPN","205B","3.0","6.5","6.5","6.0","7.0","6.0","7.0","6.5","58.50","=36","58.50","=36","16.30","preliminary"," men's 3m springboard"
"19","SUYAMA Haruki","JPN","307C","3.5","6.0","7.0","6.5","7.0","6.0","6.0","6.5","66.50","18","125.00","23","26.30","preliminary"," men's 3m springboard"
