"divenum","event","round","year","competition","judge_id","rank","name","dcountry","divecode","DD","divepts","diverank","totalpts","overallrank","pointsbehind","judges_score","judge_name","jcountry","gender"
4,"women's 3m springboard","final",2018,"World_Series_Kazan","J7",1,"SHI Tingmao","CHN","107B",3.1,"72.85","2",297.85,"1",0,7.5,"GOLOVAN Anatoliy","UKR","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",4,"WARE Pamela","CAN","305B",3,"69.00","4",275.25,"4",30.2,7.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",1,"SHI Tingmao","CHN","107B",3.1,"75.95","2",305.45,"1",0,8,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",5,"REID Grace","GBR","205B",3,"64.50","5",267.75,"5",37.7,6.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",6,"TORRANCE Katherine","GBR","305B",3,"*45.00","6",219.25,"6",86.2,7,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",3,"ABEL Jennifer","CAN","5154B",3.4,"71.40","3",288.3,"3",17.15,7,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J2",2,"WANG Han","CHN","107B",3.1,"80.60","1",301.1,"2",4.35,8.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",4,"WARE Pamela","CAN","305B",3,"69.00","4",275.25,"4",30.2,7.5,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",5,"REID Grace","GBR","205B",3,"64.50","5",267.75,"5",37.7,7,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",6,"TORRANCE Katherine","GBR","305B",3,"*45.00","6",219.25,"6",86.2,7,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",3,"ABEL Jennifer","CAN","5154B",3.4,"71.40","3",288.3,"3",17.15,6.5,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",1,"SHI Tingmao","CHN","107B",3.1,"75.95","2",305.45,"1",0,8.5,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2018,"World_Series_Montreal","J7",2,"WANG Han","CHN","107B",3.1,"80.60","1",301.1,"2",4.35,8.5,"SZEKFFY Nora","HUN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",6,"PUNZEL Tina","GER","5152B",3,"63","=5",237.3,"6",60.6,7,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",5,"KEENEY Maddison","AUS","107B",3.1,"74.4","=2",249.4,"4",48.5,8,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",1,"WANG Han","CHN","107B",3.1,"74.4","=2",297.9,"1",0,8,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",4,"WARE Pamela","CAN","305B",3,"63","=5",248.2,"5",49.7,7,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",3,"ABEL Jennifer","CAN","5154B",3.4,"68","4",269.7,"3",28.2,7,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J1",2,"SHI Tingmao","CHN","107B",3.1,"77.5","1",295,"2",2.9,8.5,"van der VOORT Ronald","NED","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",3,"ABEL Jennifer","CAN","5154B",3.4,"68","4",269.7,"3",28.2,7,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",2,"SHI Tingmao","CHN","107B",3.1,"77.5","1",295,"2",2.9,8.5,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",4,"WARE Pamela","CAN","305B",3,"63","=5",248.2,"5",49.7,7,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",5,"KEENEY Maddison","AUS","107B",3.1,"74.4","=2",249.4,"4",48.5,8,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",1,"WANG Han","CHN","107B",3.1,"74.4","=2",297.9,"1",0,8.5,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J2",6,"PUNZEL Tina","GER","5152B",3,"63","=5",237.3,"6",60.6,7,"RAO Lang","CHN","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",4,"WARE Pamela","CAN","305B",3,"63","=5",248.2,"5",49.7,7,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",5,"KEENEY Maddison","AUS","107B",3.1,"74.4","=2",249.4,"4",48.5,8,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",6,"PUNZEL Tina","GER","5152B",3,"63","=5",237.3,"6",60.6,7,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",2,"SHI Tingmao","CHN","107B",3.1,"77.5","1",295,"2",2.9,8,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",3,"ABEL Jennifer","CAN","5154B",3.4,"68","4",269.7,"3",28.2,6.5,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J3",1,"WANG Han","CHN","107B",3.1,"74.4","=2",297.9,"1",0,8,"AVASILOAE Florin","ROU","Male"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",2,"SHI Tingmao","CHN","107B",3.1,"77.5","1",295,"2",2.9,8,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",1,"WANG Han","CHN","107B",3.1,"74.4","=2",297.9,"1",0,7.5,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",5,"KEENEY Maddison","AUS","107B",3.1,"74.4","=2",249.4,"4",48.5,7.5,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",6,"PUNZEL Tina","GER","5152B",3,"63","=5",237.3,"6",60.6,7,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",3,"ABEL Jennifer","CAN","5154B",3.4,"68","4",269.7,"3",28.2,7,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_Beijing","J4",4,"WARE Pamela","CAN","305B",3,"63","=5",248.2,"5",49.7,6.5,"WRIGHT Lisa","NZL","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",1,"KEENEY Maddison","AUS","107B",3.1,"79.05","1",291.8,"1",0,8.5,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",5,"LIN Shan","CHN","107B",3.1,"75.95","2",269.45,"4",22.35,8,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",2,"ABEL Jennifer","CAN","205B",3,"54","6",268.05,"5",23.75,6.5,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",3,"SABRI Nur Dhabitah Binti","MAS","305B",3,"67.5","4",272.4,"2",19.4,7.5,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",4,"REID Grace","GBR","107B",3.1,"69.75","3",272.25,"3",19.55,7.5,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J1",6,"WARE Pamela","CAN","305B",3,"64.5","5",266.15,"6",25.65,7,"AHLERING Julie","USA","Female"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",3,"SABRI Nur Dhabitah Binti","MAS","305B",3,"67.5","4",272.4,"2",19.4,7,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",5,"LIN Shan","CHN","107B",3.1,"75.95","2",269.45,"4",22.35,8.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",4,"REID Grace","GBR","107B",3.1,"69.75","3",272.25,"3",19.55,7.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",6,"WARE Pamela","CAN","305B",3,"64.5","5",266.15,"6",25.65,7.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",2,"ABEL Jennifer","CAN","205B",3,"54","6",268.05,"5",23.75,6,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J3",1,"KEENEY Maddison","AUS","107B",3.1,"79.05","1",291.8,"1",0,8.5,"LEE William","SGP","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",2,"ABEL Jennifer","CAN","205B",3,"54","6",268.05,"5",23.75,5.5,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",3,"SABRI Nur Dhabitah Binti","MAS","305B",3,"67.5","4",272.4,"2",19.4,7,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",1,"KEENEY Maddison","AUS","107B",3.1,"79.05","1",291.8,"1",0,9,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",5,"LIN Shan","CHN","107B",3.1,"75.95","2",269.45,"4",22.35,8,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",4,"REID Grace","GBR","107B",3.1,"69.75","3",272.25,"3",19.55,7.5,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_London","J6",6,"WARE Pamela","CAN","305B",3,"64.5","5",266.15,"6",25.65,7.5,"ZAMPIERI Marco","ITA","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",4,"ABEL Jennifer","CAN","5154B",3.4,"44.20","6",259.75,"4",44.15,5,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",2,"SHI Tingmao","CHN","107B",3.1,"77.50","1",298,"2",5.9,8,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",3,"KEENEY Maddison","AUS","107B",3.1,"75.95","2",274.95,"3",28.95,8,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",6,"POLIAKOVA Mariia","RUS","107B",3.1,"46.50","5",219,"6",84.9,5,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",1,"WANG Han","CHN","107B",3.1,"74.40","3",303.9,"1",0,7.5,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J5",5,"WARE Pamela","CAN","305B",3,"67.50","4",241.6,"5",62.3,6.5,"TOULOUDIS Nikolaos","GRE","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",4,"ABEL Jennifer","CAN","5154B",3.4,"44.20","6",259.75,"4",44.15,5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",6,"POLIAKOVA Mariia","RUS","107B",3.1,"46.50","5",219,"6",84.9,5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",5,"WARE Pamela","CAN","305B",3,"67.50","4",241.6,"5",62.3,7.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",2,"SHI Tingmao","CHN","107B",3.1,"77.50","1",298,"2",5.9,8.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",3,"KEENEY Maddison","AUS","107B",3.1,"75.95","2",274.95,"3",28.95,7.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2019,"World_Series_Montreal","J7",1,"WANG Han","CHN","107B",3.1,"74.40","3",303.9,"1",0,8.5,"RUIZ PEDREGUERA Rolando","CUB","Male"
4,"women's 3m springboard","final",2021,"World_Cup","J1",7,"MEW JENSEN Scarlett","GBR","305B",3,"55.50","=9",243.45,"8",59.1,5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",4,"VAZQUEZ MONTANO","MEX","305B",3,"67.50","=6",257.1,"4",45.45,7.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",1,"CHEN Yiwen","CHN","107B",3.1,"79.05","1",302.55,"1",0,8.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",6,"MIKAMI Sayaka","JPN","205B",3,"72.00","3",247.7,"6",54.85,8.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",2,"BACON Sarah","USA","107B",3.1,"69.75","4",275.25,"2",27.3,7.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",3,"CHANG Yani","CHN","107B",3.1,"74.40","2",270.9,"3",31.65,7.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",12,"PICKENS Samantha","USA","305B",3,"60.00","8",195,"12",107.55,6.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",5,"ABEL Jennifer","CAN","205B",3,"69.00","5",244.65,"7",57.9,7.5,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",11,"NG Yan Yee","MAS","305B",3,"55.50","=9",214.2,"11",88.35,6,"REIS Violeta","BRA","Female"
4,"women's 3m springboard","final",2021,"World_Cup","J1",9,"PYSMENSKA Anna","UKR","405B",3,"49.50","11",225.45,"10",77.1,5.5,"REIS Violeta","BRA","Female"
